ID,SPEAKER,CONVERSATION,,CATALAN,FRENCH,GERMAN,SPANISH,PTBR,RUSSIAN,JAPANESE,KOREAN,CHINESE (SIMPLIFIED),CHINESE (TRADITIONAL)
488,Gary,Acquiring Item,,"HA! T'estàs tornant més... efectiva, Kiki.","HA ! Tu deviens vraiment impressionnante, Kiki !","HA! Du wirst ganz schön ... beeindruckend, Kiki.","¡JA! Te estás volviendo verdaderamente... formidable, Kiki.","HA! Quem diria que você ficaria tão poderosa, Kiki?","ХА! Кто бы мог подумать, что китики так быстро растут.",ハッ！ますます...恐ろしいネコに なっていくな、キキ。,"하! 너... 점점 강해지는데, 나비야.",哈！你真是越来越...强悍了，琪琪。,哈！你真是越來越...強悍了，琪琪。
489,UI / HUD,Acquiring Item,,KIKI HA ACONSEGUIT UN MÒDUL DESCODIFICADOR.,KIKI A TROUVÉ UN DÉCODEUR.,KIKI HAT EIN DECODER-MODUL ERHALTEN.,KIKI TIENE UN MÓDULO DESCODIFICADOR.,KIKI GANHOU UM MÓDULO DE DECODIFICADOR.,НАЙДЕН ДЕШИФРАТОР,キキは「デコーダー」モジュールを 手に入れた。,나비가 해독기 모듈을 획득하였습니다,琪琪获得了解码组块。,琪琪獲得瞭解碼組塊。
490,UI / HUD,Acquiring Item,,KIKI HA ACONSEGUIT UN MÒDUL CARTUTX.,KIKI A TROUVÉ UNE CARTOUCHE.,KIKI HAT EIN KASSETTENMODUL ERHALTEN.,KIKI TIENE UN MÓDULO DE CARTUCHO.,KIKI GANHOU UM MÓDULO DE CARTUCHO.,НАЙДЕН КАРТРИДЖ,キキは「カートリッジ」モジュールを 手に入れた。,나비가 카트리지를 획득하였습니다,琪琪获得了弹药匣组块。,琪琪獲得了彈藥匣組塊。
491,Gary,Acquiring Item,,Kiki! Has aconseguit un CARTUTX!!,Kiki ! Tu as trouvé une CARTOUCHE !,Kiki! Du hast eine KASSETTE gefunden!,¡Kiki! ¡Tienes un CARTUCHO!,Kiki! Você ganhou um CARTUCHO!!!,Кики! Ты нашла КАРТРИДЖ!,キキ！カートリッジを手に入れたな！！,나비야! 카트리지를 얻었구나!,琪琪！你获得了弹药匣！！,琪琪！你獲得了彈藥匣！！
492,Gary,Acquiring Item,,És... pintoresc.,C'est original.,Wie malerisch.,Qué pintoresco.,Que beleza.,Как изысканно.,なんと古めかしい。,아주 좋아.,样子真古怪。,樣子真古怪。
493,Gary,Acquiring Item,,Has aconseguit la paleta [PALETTE NAME].,Tu as débloqué la palette [PALETTE NAME].,Du hast die Palette [PALETTE NAME] freigeschaltet.,Has desbloqueado la paleta [PALETTE NAME].,Você desbloqueou a Paleta [PALETTE NAME].,"Разблокирована гамма ""[PALETTE NAME]"".",[PALETTE NAME]パレットを アンロックしたぞ。,[PALETTE NAME] 팔레트를 해제하였습니다.,你解锁了[PALETTE NAME]调色板。,你解鎖了[PALETTE NAME]新色調。
494,Gary,Acquiring Item,,Accedeix al MENÚ per provar-la!,Ouvre ton MENU pour l'essayer !,"Wechsle in dein MENÜ, um sie auszuprobieren!",¡Accede a tu MENÚ para probarla!,Acesse seu MENU para experimentá-la.,Попробуй включить ее через МЕНЮ!,メニューから試してみるんだ！,메뉴로 들어가 사용해보십시오!,从菜单界面试着用用吧！,在選單中試試！
495,UI / HUD,N/A,,PER DEFECTE,PAR DÉFAUT,STANDARD,PREDETERMINADA,PADRÃO,ПО УМОЛЧАНИЮ,デフォルト,기본,默认,默認
496,UI / HUD,N/A,,SUAU,ESTOMPÉE,SANFT,SUAVE,SUAVE,ПРИГЛУШЕННАЯ,ソフト,부드러움,柔和,柔和
497,UI / HUD,N/A,,ESCORÇA,ÉCORCE,RINDE,CORTEZA,CASCA DE ÁRVORE,ДРЕВЕСНАЯ,バーク,껍질,树皮,樹皮
498,UI / HUD,N/A,,NICOTINA,NICOTINE,NIKOTIN,NICOTINA,NICOTINA,СИГАРЕТНАЯ,ニコチン,니코틴,尼古丁,尼古丁
499,UI / HUD,N/A,,ESTRIBORD,TRIBORD,STEUERBORD,ESTRIBOR,MARÍTIMA,МОРСКАЯ,スターボード,스타보드,右舷,右舷
500,UI / HUD,N/A,,TACA DE CAFÈ,TACHE DE CAFÉ,KAFFEEFLECK,MANCHA DE CAFÉ,MARCA DE CAFÉ,КОФЕЙНАЯ,コーヒーステイン,커피 얼룩,咖啡痕,咖啡痕
501,UI / HUD,N/A,,GAT VIRTUAL,VIRTUAL CHAT,VIRTUAL CAT,VIRTUAL CAT,GATO VIRTUAL,VIRTUAL CAT,バーチャルキャット,버추얼 캣,虚拟猫,虛擬貓
502,UI / HUD,N/A,,BABORD,BABORD,HAFEN,BABOR,PORTUÁRIA,ПОРТОВАЯ,ポート,항구,港湾,港灣
503,UI / HUD,N/A,,MEUTRIX,MIAOUTRIX,MIAUTRIX,MIAUTRIX,MIAUTRIX,МЯТРИЦА,ミャトリックス,냥트릭스,喵客帝国,喵客帝國
504,UI / HUD,N/A,,LLEFISCÓS,GLUE,SCHMIERE,PRINGUE,SUJEIRA,КЛЕЙКАЯ,グープ,쫀득,喵糊糊,喵糊糊
505,UI / HUD,N/A,,ORINA,URINE,URIN,ORINA,URINA,МОЧЕВАЯ,ユーリン,오줌,尿渍,尿漬
506,UI / HUD,N/A,,TAMAMOIX,TAMAKIKI,TAMAGATO,TAMAGATO,TAMAGATO,ТАМАГОШКА,タマガット,다마고치,电子宠物,電子寵物
507,UI / HUD,N/A,,GRIS,GRIS,GRAU,GRIS,GRIS,ГРИС,グリス,그리스,Gris,Gris
508,UI / HUD,N/A,,XICLET,CHEWING-GUM,GEKAUTER KAUGUMMI,CHICLE MASTICADO,CHICLETE,ЖЕВАЧЕЧНАЯ,チューインガム,풍선껌,泡泡糖,泡泡糖
509,UI / HUD,N/A,,MATXA PANTÀ,MARÉCAGE,SUMPFMATCHA,MATCHA PANTANOSO,PANTANOSO,ЗЕЛЕНОЧАЙНАЯ,ヌマッチャ,눅눅한 녹차,沼泽抹茶,沼澤抹茶
510,UI / HUD,N/A,,RAÏM,RAISIN,TRAUBE,UVA,UVA,ВИНОГРАДНАЯ,グレープ,포도,葡萄,葡萄
511,General Use,N/A,,...,...,...,...,...,...,...,...,...,...
512,Kiki,N/A,,Meu.,Miaou.,Miau.,Miau.,Miau.,Мяу.,みゃおん。,야옹.,喵喵。,喵喵。
513,UI / HUD,N/A,,PITJA START,APPUYEZ SUR START,DRÜCKE START,PULSA START,PRESSIONE [START_BUTTON],НАЖМИТЕ START,PRESS START,시작 버튼을 누르시오,请按开始键,請按開始鍵
514,UI / HUD,N/A,,SALUT,NRJ,NRG,VIDA,VIDA,ЭНР,NRG,체력,能量,能量
515,UI / HUD,N/A,,SORTIR,SORTIR,RAUS,SALIR,EJETAR,ВЫБРОС,EJECT,사출,弹射,彈射
516,UI / HUD,N/A,,D:\\GatoRoboto.exe,D:\\GatoRoboto.exe,D:\\GatoRoboto.exe,D:\\GatoRoboto.exe,D:\\GatoRoboto.exe,D:\\GatoRoboto.exe,D:\\GatoRoboto.exe,D:\\GatoRoboto.exe,D:\\GatoRoboto.exe,D:\\GatoRoboto.exe
517,UI / HUD,N/A,,>Carregant...,>Chargement...,>Daten werden geladen ...,>Cargando datos...,>Carregando dados...,>Идет загрузка...,>データをロード中...,>데이터를 불러오는 중...,>正在载入数据...,>正在載入數據...
518,UI / HUD,N/A,,>Comprovant Sistema,>Vérification du système...,>Systemüberprüfung ...,>Comprobación del sistema...,>Verificando sistema...,>Проверка системных данных...,>システムチェック...,>시스템을 확인하는 중...,>系统自检...,>系統檢驗...
519,UI / HUD,N/A,,-TOTS ELS SISTEMES EN ORDRE-,-SYSTÈMES FONCTIONNELS-,-ALLE SYSTEME ONLINE-,-TODOS LOS SISTEMAS ACTIVADOS-,-TODOS OS SISTEMAS ONLINE-,-ВСЕ СИСТЕМЫ В НОРМЕ-,-全システム オンライン-,-모든 시스템 온라인-,-所有系统已上线-,-所有系統已上線-
520,UI / HUD,N/A,,MAPA,CARTE,KARTE,MAPA,MAPA,КАРТА,マップ,지도,地图,地圖
521,UI / HUD,N/A,,ZONA D'ATERRATGE,LIEU DU CRASH,LANDEPLATZ,LUGAR DEL ATERRIZAJE,LOCAL DA QUEDA,МЕСТО ПАДЕНИЯ,墜落サイト,착륙 지점,着陆地点,降落地點
522,UI / HUD,N/A,,NEXE,CENTRE DE CONTRÔLE,NEXUS,NEXO,NEXUS,НЕКСУС,ネクサス,넥서스,新星中心,新星中心
523,UI / HUD,N/A,,AQÜEDUCTES,CANALISATIONS,AQUÄDUKTE,ACUEDUCTOS,AQUEDUTOS,АКВЕДУК,アクアダクト,송수로,大渡槽,大溝渠
524,UI / HUD,N/A,,NUCLI DE L’ESCALFADOR,MODULE DE CHAUFFAGE,WÄRMETAUSCHER,NÚCLEO CALEFACTOR,NÚCLEO DE CALEFAÇÃO,НАГРЕВАТЕЛЬНОЕ ЯДРО,加熱炉,히터 코어,加热核心,加熱核心
525,UI / HUD,N/A,,VENTILACIÓ,VENTILATION,LÜFTUNG,VENTILACIÓN,VENTILAÇÃO,ВЕНТИЛЯЦИЯ,換気システム,통풍로,通风系统,通風系統
526,UI / HUD,N/A,,INCUBADORA,INCUBATEUR,INKUBATOR,INCUBADORA,INCUBADORA,ИНКУБАТОР,インキュベータ,부화장,孵化系统,孵化系統
527,UI / HUD,N/A,,LABORATORI,LABORATOIRE,LABOR,LABORATORIO,LABORATÓRIO,ЛАБОРАТОРИЯ,ラボ,실험실,实验室,實驗室
528,UI / HUD,N/A,,ESTAT,STATUT,STATUS,ESTADO,STATUS,СТАТУС,ステータス,상태,状态,狀態
529,UI / HUD,N/A,,SALT GIRATORI,DOUBLE SAUT,DREHSPRUNG,SALTOGIRA,SUPERSALTO,СУПЕРПРЫГ,スピンジャンプ,스핀점프,螺旋弹跳,螺旋彈跳
530,UI / HUD,N/A,,EMBRANZIDA,DÉPHASEUR,PHASENSCHUB,SPRINT,ARREMETIDA,ВАРП,フェイズ,페이즈,相位移动,相位移動
531,UI / HUD,N/A,,DESCODIFICADOR,DÉCODEUR,DECODER,DESCIFRADOR,DECODIFIC.,ДЕШИФРАТОР,デコーダー,해독기,解码仪,解碼器
532,UI / HUD,N/A,,SALTADOR,RESSORTS,HOPSEN,SALTARÍN,ULTRA SALTO,ПРЫЖКОВЫЙ,ホッパー,호퍼,跳跃,跳躍
533,UI / HUD,N/A,,CARTUTX,CARTOUCHE,KASSETTE,CARTUCHO,CARTUCHO,КАРТРИДЖ,カートリッジ,카트리지,弹药匣,彈藥匣
534,UI / HUD,N/A,,PISTOLA,PISTOLET,PISTOLE,PISTOLA,PISTOLA,ПИСТОЛЕТ,ピストル,권총,手枪,手槍
535,UI / HUD,N/A,,COET,ROQUETTE,RAKETE,COHETE,FOGUETE,РАКЕТА,ロケット,로켓,火箭弹,火箭彈
536,UI / HUD,N/A,,REFRIGERANT,RÉFRIGÉRANT,KÜHLMITTEL,REFRIGERANTE,RESFRIADOR,ОХЛАДИТЕЛЬ,クーラント,냉각기,冷却设备,冷卻設備
537,UI / HUD,N/A,,TRET GROS,GROS CALIBRE,KANONE,CAÑONAZO,SUPERTIRO,УСИЛИТЕЛЬ,ビッグショット,큰총,巨弹,巨彈
538,UI / HUD,N/A,,REPETIDOR,RÉPÉTITEUR,DAUERFEUER,REPETIDOR,REPETIDOR,АВТОБЛАСТЕР,リピーター,자동발사기,连发,連發
539,UI / HUD,N/A,,OPCIONS,OPTIONS,OPTIONEN,OPCIONES,OPÇÕES,НАСТРОЙКИ,オプション,설정,选项,選項
540,UI / HUD,N/A,,SORTIR DEL JOC,QUITTER,SPIEL BEENDEN,SALIR DEL JUEGO,SAIR DO JOGO,ВЫЙТИ ИЗ ИГРЫ,ゲームを終了,게임 종료,离开游戏,離開遊戲
541,UI / HUD,N/A,,CONTINUAR EL JOC,REPRENDRE,SPIEL FORTSETZEN,CONTINUAR LA PARTIDA,CONTINUAR JOGO,ПРОДОЛЖИТЬ ИГРУ,ゲームを続ける,게임 이어하기,继续游戏,繼續遊戲
542,UI / HUD,N/A,,PALETA,PALETTE,PALETTE,PALETA,PALETA,ГАММА ВЫБРАНА,選択中のパレット,팔레트 선택,已选择该调色板,已選擇該色調
543,UI / HUD,N/A,,VOLUM,VOLUME,LAUTSTÄRKE,VOLUMEN,VOLUME,ГРОМКОСТЬ,全体ボリューム,음량,音量,音量
544,UI / HUD,N/A,,SONS,EFFETS,SOUNDEFFEKTE,EFECTOS SONOROS,EFEITOS SONOROS,ЗВУК,エフェクト,효과음,音效,音效
545,UI / HUD,N/A,,MÚSICA,MUSIQUE,MUSIK,MÚSICA,MÚSICA,МУЗЫКА,ミュージック,음악,音乐,音樂
546,UI / HUD,N/A,,PANTALLA SENCERA,PLEIN ÉCRAN,VOLLBILD,PANTALLA COMPLETA,TELA INTEIRA,ПОЛНОЭКРАННЫЙ РЕЖИМ,フルスクリーン,전체화면,全屏模式,全屏模式
547,UI / HUD,N/A,,ENCÈS,AVEC,AN,SÍ,SIM,ВКЛ,オン,켜기,开启,開啟
548,UI / HUD,N/A,,APAGAT,SANS,AUS,NO,NÃO,ВЫКЛ,オフ,끄기,关闭,關閉
549,UI / HUD,N/A,,TORNAR,RETOUR,ZURÜCK,ATRÁS,VOLTAR,НАЗАД,もどる,뒤로,返回,返回
550,UI / HUD,N/A,,TORNAR AL MENÚ PRINCIPAL,RETOUR À L'ÉCRAN TITRE,ZUM STARTBILDSCHIRM,SALIR A LA PANTALLA DE TÍTULO,SAIR PARA TELA INICIAL,СТАРТОВЫЙ ЭКРАН,終了してタイトルへ,타이틀로 돌아가기,返回主菜单,返回主選單
551,UI / HUD,N/A,,Pitja [BTN_START],Appuyez sur [BTN_START],Drücke [BTN_START],Pulsa [BTN_START],Pressione [BTN_START],Нажмите [BTN_START],[BTN_START]を押す,[BTN_START] 버튼을 누르시오,请按[BTN_START],請按[BTN_START]
552,UI / HUD,N/A,,Començar,Jouer,Start,Inicio,Iniciar,Начать,ゲーム開始,시작,开始游戏,開始遊戲
553,UI / HUD,N/A,,Opcions,Options,Optionen,Opciones,Opções,Настройки,オプション,설정,选项,選項
554,UI / HUD,N/A,,Sortir,Quitter,Beenden,Salir,Sair,Выход,終了,종료,离开,離開
555,UI / HUD,N/A,,Arxiu,Fichier,Datei,Archivo,Jogo salvo,Слот,ファイル,파일,文件,檔
556,UI / HUD,N/A,,Nova Partida,Nouvelle partie,Neues Spiel,Partida nueva,Novo jogo,Новая игра,新しいゲーム,새 게임,新游戏,新遊戲
557,UI / HUD,N/A,,Carregar Partida,Charger,Spiel laden,Cargar partida,Carregar jogo,Загрузить игру,ゲームをロード,불러오기,载入游戏,載入遊戲
558,UI / HUD,N/A,,Esborrar Partida Desada,Supprimer la sauvegarde,Spielstand löschen,Borrar partida guardada,Excluir jogo salvo,Удалить сохранение,セーブを削除,세이브 삭제,删除存档,刪除存檔
559,UI / HUD,N/A,,N'estàs segur?,Vraiment ?,Bist du sicher?,¿Seguro?,Tem certeza?,Вы уверены?,よろしいですか？,정말로 진행하시겠습니까?,确定吗？,確定嗎？
560,UI / HUD,N/A,,Sí,Oui,Ja,Sí,Sim,Да,はい,예,是,是
561,UI / HUD,N/A,,No,Non,Nein,No,Não,Нет,いいえ,아니오,否,否
562,UI / HUD,N/A,,VESTIT,COMBINAISON,ANZUG,TRAJE,TRAJE,КОСТЮМ,スーツ,슈트,盔甲,盔甲
563,UI / HUD,N/A,,BRAÇOS,ARMES,WAFFEN,BRAZOS,ARMAS,ОРУЖИЕ,アーム,무기,武器,武器
564,UI / HUD,N/A,,LLENGUA,LANGUE,SPRACHE,IDIOMA,IDIOMA,ЯЗЫК,げんご,언어,语言,語言
565,UI / HUD,N/A,,Català,Català,Català,Català,Català,Català,Català,Català,Català,Català
566,UI / HUD,N/A,,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français
567,UI / HUD,N/A,,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch
568,UI / HUD,N/A,,Castellano,Castellano,Castellano,Castellano,Castellano,Castellano,Castellano,Castellano,Castellano,Castellano
569,UI / HUD,N/A,,Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil)
570,UI / HUD,N/A,,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский
571,UI / HUD,N/A,,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文
572,UI / HUD,N/A,,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文
573,UI / HUD,N/A,,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語
574,UI / HUD,N/A,,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어
575,UI / HUD,N/A,,Configuració de Tecles,Configuration des commandes,Tastenbelegung,Asignación de teclas,Mapeamento de teclas/botões,Раскладка клавиш,キーはいち,키 지정,键位设置,按鍵設置
576,UI / HUD,N/A,,Mode 1,Mode 1,Modus 1,Modo 1,Modo 1,Режим 1,モード1,모드 1,预设模式1,預設模式1
577,UI / HUD,N/A,,Mode 2,Mode 2,Modus 2,Modo 2,Modo 2,Режим 2,モード2,모드 2,预设模式2,預設模式2
578,UI / HUD,N/A,,Mode 3,Mode 3,Modus 3,Modo 3,Modo 3,Режим 3,モード3,모드 3,预设模式3,預設模式3
579,UI / HUD,N/A,,Mode 4,Mode 4,Modus 4,Modo 4,Modo 4,Режим 4,モード4,모드 4,预设模式4,預設模式4
580,UI / HUD,N/A,,Moure’s / Apuntar,Se déplacer / Viser,Bewegen / Zielen,Mover/Apuntar,Mover-se / Mirar,Движение / Цель,移動 / ねらう,이동 / 조준,移动/瞄准,移動/瞄準
581,UI / HUD,N/A,,Saltar / Escalar / Nedar,Sauter / Grimper / Nager,Springen / Klettern / Schwimmen,Saltar/Trepar/Nadar,Saltar / Escalar / Nadar,Прыжок / Лезть / Плыть,ジャンプ / よじ登る / 泳ぐ,점프 / 벽타기 / 수영,跳跃/攀爬/游泳,跳躍/攀爬/游泳
582,UI / HUD,N/A,,Disparar,Tirer,Schießen,Disparar,Atirar,Выстрел,撃つ,발사,射击,射擊
583,UI / HUD,N/A,,Coet,Lance-roquette,Rakete,Cohete,Foguete,Ракета,ロケット,로켓,火箭弹,火箭彈
584,UI / HUD,N/A,,Embranzida,Courir,Sprint,Correr,Correr,Варп-прыжок,ダッシュ,대시,冲刺,衝刺
585,UI / HUD,N/A,,Sortir,Éjecter,Aussteigen,Salir,Ejetar,Выброс,スーツをぬぐ,사출,弹射,彈射
586,UI / HUD,N/A,,Pausa,Pause,Pause,Pausa,Pausar,Пауза,ポーズ,일시 정지,暂停,暫停
587,UI / HUD,N/A,,Pitja una tecla...,Appuyez sur une touche...,Taste drücken ...,Pulsa una tecla...,Pressione um botão/tecla...,Нажмите клавишу...,キーを押そう...,키를 누르시오...,请设置按键,請設置按鍵
588,UI / HUD,N/A,,Missió Complerta!,Mission terminée !,Mission abgeschlossen!,¡Misión cumplida!,Missão cumprida!,Миссия выполнена!,任務完了！,임무 완수!,任务完成！,任務完成！
